iter	Passed	Remaining
0	1	184
1	3	173
2	5	162
3	6	148
4	7	145
5	9	145
6	10	143
7	12	141
8	13	139
9	15	138
10	16	136
11	18	135
12	19	133
13	21	131
14	22	129
15	24	127
16	25	126
17	27	124
18	28	122
19	30	122
20	32	121
21	33	119
22	35	117
23	36	115
24	38	114
25	39	112
26	40	110
27	42	109
28	44	107
29	45	106
30	47	104
31	48	103
32	49	101
33	51	99
34	52	98
35	54	96
36	55	94
37	57	93
38	58	91
39	60	90
40	61	88
41	62	86
42	63	84
43	65	82
44	66	81
45	68	79
46	69	78
47	70	76
48	72	75
49	74	74
50	75	72
51	76	71
52	78	69
53	79	67
54	80	66
55	82	64
56	83	63
57	84	61
58	86	60
59	87	58
60	89	57
61	90	55
62	92	54
63	93	52
64	95	51
65	96	49
66	98	48
67	99	46
68	101	45
69	102	44
70	104	42
71	105	41
72	107	39
73	108	38
74	110	36
75	111	35
76	113	33
77	114	32
78	115	30
79	117	29
80	118	27
81	120	26
82	121	24
83	123	23
84	124	21
85	126	20
86	127	19
87	129	17
88	130	16
89	131	14
90	133	13
91	134	11
92	136	10
93	137	8
94	139	7
95	140	5
96	142	4
97	143	2
98	144	1
99	146	0
