iter	Passed	Remaining
0	370	369773
1	371	185525
2	373	124252
3	375	93596
4	377	75132
5	379	62809
6	380	54021
7	382	47429
8	384	42291
9	385	38166
10	387	34816
11	389	32053
12	390	29676
13	392	27644
14	394	25874
15	395	24318
16	396	22948
17	398	21724
18	399	20635
19	401	19671
20	403	18807
21	405	18008
22	406	17269
23	408	16593
24	409	15969
25	410	15392
26	412	14857
27	413	14360
28	415	13901
29	417	13498
30	419	13107
31	420	12727
32	422	12371
33	423	12036
34	425	11719
35	426	11422
36	428	11139
37	429	10874
38	431	10643
39	435	10440
40	436	10220
41	442	10100
42	449	10005
43	451	9816
44	453	9627
45	456	9458
46	457	9280
47	459	9123
48	462	8971
49	463	8815
50	465	8663
51	467	8514
52	468	8370
53	469	8231
54	471	8098
55	472	7969
56	474	7855
57	476	7745
58	478	7629
59	479	7517
60	481	7408
61	482	7302
62	484	7199
63	485	7100
64	486	7004
65	488	6913
66	490	6831
67	492	6744
68	493	6659
69	494	6576
70	496	6496
71	497	6417
72	499	6340
73	500	6265
74	502	6192
75	504	6135
76	506	6071
77	508	6004
78	509	5938
79	510	5874
80	512	5811
81	513	5749
82	514	5682
83	515	5624
84	517	5568
85	519	5519
86	521	5468
87	522	5416
88	524	5364
89	525	5313
90	526	5262
91	528	5214
92	529	5166
93	531	5119
94	532	5077
95	535	5038
96	536	4996
97	538	4955
98	539	4914
99	541	4874
100	543	4834
101	545	4798
102	546	4761
103	548	4726
104	550	4693
105	552	4658
106	553	4622
107	555	4586
108	556	4551
109	558	4516
110	559	4484
111	561	4452
112	564	4427
113	565	4396
114	567	4365
115	568	4334
116	569	4300
117	571	4270
118	572	4241
119	574	4211
120	575	4182
121	576	4152
122	579	4131
123	581	4107
124	583	4082
125	584	4057
126	586	4028
127	587	4003
128	589	3977
129	590	3951
130	591	3926
131	594	3906
132	595	3884
133	597	3860
134	598	3837
135	600	3813
136	601	3790
137	603	3767
138	604	3745
139	606	3722
140	608	3704
141	609	3682
142	610	3661
143	612	3640
144	613	3619
145	615	3598
146	616	3579
147	618	3558
148	619	3539
149	621	3519
150	623	3504
151	624	3486
152	626	3467
153	627	3449
154	629	3430
155	630	3412
156	632	3394
157	633	3377
158	635	3359
159	636	3342
160	637	3324
161	639	3310
162	641	3294
163	643	3278
164	644	3263
165	646	3248
166	648	3232
167	649	3216
168	650	3200
169	653	3190
170	655	3176
171	656	3160
172	658	3145
173	659	3131
174	661	3116
175	662	3101
176	663	3087
177	665	3072
178	667	3059
179	669	3047
180	670	3034
181	672	3020
182	673	3006
183	675	2993
184	676	2979
185	677	2966
186	679	2953
187	680	2940
188	682	2929
189	684	2918
190	686	2905
191	687	2893
192	689	2881
193	690	2868
194	691	2856
195	693	2844
196	694	2832
197	696	2820
198	698	2811
199	700	2800
200	701	2788
201	703	2777
202	704	2765
203	705	2754
204	707	2742
205	708	2731
206	710	2720
207	711	2710
208	713	2701
209	715	2691
210	717	2681
211	718	2670
212	720	2660
213	721	2650
214	722	2639
215	724	2629
216	725	2618
217	728	2611
218	729	2602
219	731	2593
220	733	2586
221	735	2576
222	737	2568
223	738	2559
224	740	2549
225	741	2540
226	743	2533
227	745	2524
228	746	2515
229	748	2505
230	749	2496
231	751	2487
232	752	2478
233	754	2468
234	755	2459
235	757	2453
236	759	2444
237	760	2436
238	762	2427
239	763	2418
240	764	2409
241	766	2400
242	767	2391
243	769	2383
244	770	2374
245	772	2368
246	774	2362
247	776	2353
248	777	2345
249	779	2337
250	780	2328
251	781	2320
252	783	2312
253	784	2304
254	786	2297
255	788	2291
256	790	2283
257	791	2276
258	792	2268
259	794	2260
260	795	2253
261	797	2245
262	798	2237
263	800	2230
264	802	2224
265	803	2217
266	805	2210
267	806	2202
268	807	2195
269	809	2188
270	810	2181
271	812	2173
272	813	2166
273	815	2159
274	817	2155
275	819	2149
276	820	2142
277	822	2136
278	824	2129
279	825	2123
280	827	2117
281	828	2110
282	830	2103
283	833	2101
284	834	2094
285	836	2088
286	837	2081
287	839	2074
288	840	2068
289	842	2061
290	843	2055
291	845	2049
292	848	2047
293	850	2041
294	851	2035
295	853	2029
296	854	2023
297	856	2017
298	857	2011
299	859	2005
300	861	2000
301	864	1997
302	865	1991
303	867	1985
304	868	1979
305	870	1974
306	871	1967
307	873	1961
